
---------- Begin Simulation Statistics ----------
simSeconds                                   0.067103                       # Number of seconds simulated (Second)
simTicks                                  67103095068                       # Number of ticks simulated (Tick)
finalTick                                 67103095068                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                   1468.42                       # Real time elapsed on the host (Second)
hostTickRate                                 45697586                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     747020                       # Number of bytes of host memory used (Byte)
simInsts                                    254019556                       # Number of instructions simulated (Count)
simOps                                      437757516                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   172989                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     298115                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                       201274335                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                      219273499                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1723                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                     219188377                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                   244                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              388549                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           311518                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                907                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples          201122509                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              1.089825                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             1.440395                       # Number of insts issued each cycle (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     87.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAes            0      0.00%     87.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAesMix            0      0.00%     87.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash            0      0.00%     87.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     87.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash            0      0.00%     87.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     87.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma2            0      0.00%     87.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma3            0      0.00%     87.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdPredAlu            0      0.00%     87.98% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemRead     10032852      4.58%     92.56% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemWrite      7389254      3.37%     95.93% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemRead      8920751      4.07%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemWrite         1061      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total     219188377                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        1.089003                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                             327145                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.001493                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads               359725969                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites               79434414                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses       79126585                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                280100683                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites               140229488                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses       140047879                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                   77363695                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                   140050419                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                        219184751                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                     18953142                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                     3626                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                          26343120                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                       7908650                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                     7389978                       # Number of stores executed (Count)
system.cpu0.numRate                          1.088985                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                            757                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                         151826                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.quiesceCycles                      236462                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
system.cpu0.committedInsts                  127014105                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                    218886650                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              1.584661                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         1.584661                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              0.631050                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         0.631050                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                 123364939                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites                 66941850                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                  274833123                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                 131132252                       # Number of floating regfile writes (Count)
system.cpu0.ccRegfileReads                   24867927                       # number of cc regfile reads (Count)
system.cpu0.ccRegfileWrites                  33780838                       # number of cc regfile writes (Count)
system.cpu0.miscRegfileReads                 48994600                       # number of misc regfile reads (Count)
system.cpu0.MemDepUnit__0.insertedLoads      18960396                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores      7397431                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads      4613143                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores      4108598                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups                7919798                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted          3715476                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect             1777                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups             5811229                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBHits                5809516                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.999705                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed                2100536                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect                 1                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups           1065                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits               201                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses             864                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted          179                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts         360258                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls            816                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts             1336                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples    201075674                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     1.088578                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     1.830906                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0      105860237     52.65%     52.65% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1       54659849     27.18%     79.83% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2       10732770      5.34%     85.17% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3       13426864      6.68%     91.85% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4        4900303      2.44%     94.28% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5        2500114      1.24%     95.53% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6         525524      0.26%     95.79% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7         534361      0.27%     96.05% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8        7935652      3.95%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total    201075674                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted           127014105                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted             218886650                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                   26281031                       # Number of memory references committed (Count)
system.cpu0.commit.loads                     18913242                       # Number of loads committed (Count)
system.cpu0.commit.amos                             0                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                        544                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                   7890800                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                 139988070                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                  103015641                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls              2097829                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass      2098087      0.96%      0.96% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu     88793713     40.57%     41.52% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult           89      0.00%     41.52% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv          231      0.00%     41.52% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd      6291679      2.87%     44.40% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp            0      0.00%     44.40% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt            0      0.00%     44.40% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult            0      0.00%     44.40% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc            0      0.00%     44.40% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv            0      0.00%     44.40% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc            0      0.00%     44.40% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt            0      0.00%     44.40% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd            0      0.00%     44.40% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     44.40% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu     17826158      8.14%     52.54% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp            0      0.00%     52.54% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCvt          308      0.00%     52.54% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMisc     17302162      7.90%     60.45% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMult            0      0.00%     60.45% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMultAcc            0      0.00%     60.45% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShift            0      0.00%     60.45% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShiftAcc            0      0.00%     60.45% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdDiv            0      0.00%     60.45% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSqrt            0      0.00%     60.45% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAdd     14155794      6.47%     66.92% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAlu            0      0.00%     66.92% # Class of committed instruction (Count)
