
---------- Begin Simulation Statistics ----------
simSeconds                                   0.008617                       # Number of seconds simulated (Second)
simTicks                                   8616817224                       # Number of ticks simulated (Tick)
finalTick                                  8616817224                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                    306.69                       # Real time elapsed on the host (Second)
hostTickRate                                 28095974                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                     744276                       # Number of bytes of host memory used (Byte)
simInsts                                     54456441                       # Number of instructions simulated (Count)
simOps                                       89561072                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   177556                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     292016                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                          1000                       # Clock period in ticks (Tick)
system.cpu0.numCycles                        25702500                       # Number of cpu cycles simulated (Cycle)
system.cpu0.numWorkItemsStarted                     0                       # Number of work items this cpu started (Count)
system.cpu0.numWorkItemsCompleted                   0                       # Number of work items this cpu completed (Count)
system.cpu0.instsAdded                       67452582                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu0.nonSpecInstsAdded                    1281                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu0.instsIssued                      67259885                       # Number of instructions issued (Count)
system.cpu0.squashedInstsIssued                  4138                       # Number of squashed instructions issued (Count)
system.cpu0.squashedInstsExamined              951906                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu0.squashedOperandsExamined           991875                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu0.squashedNonSpecRemoved                567                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu0.numIssuedDist::samples           25523385                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::mean              2.635226                       # Number of insts issued each cycle (Count)
system.cpu0.numIssuedDist::stdev             2.613167                       # Number of insts issued each cycle (Count)
system.cpu0.statFuBusy::FloatMult                   0      0.00%     78.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMultAcc                0      0.00%     78.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatDiv                    0      0.00%     78.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMisc                   0      0.00%     78.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatSqrt                   0      0.00%     78.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAdd                     0      0.00%     78.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAddAcc                  0      0.00%     78.21% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAlu                 14280      5.18%     83.38% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCmp                     1      0.00%     83.38% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdCvt                    40      0.01%     83.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMisc                    5      0.00%     83.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMult                    0      0.00%     83.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdMultAcc                 0      0.00%     83.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShift                   0      0.00%     83.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShiftAcc                0      0.00%     83.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdDiv                     0      0.00%     83.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSqrt                    0      0.00%     83.40% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAdd              227      0.08%     83.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatAlu                0      0.00%     83.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCmp                0      0.00%     83.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatCvt                1      0.00%     83.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatDiv                0      0.00%     83.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMisc               0      0.00%     83.48% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMult           26505      9.61%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatMultAcc            0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatSqrt               0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAdd               0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceAlu               0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdReduceCmp               0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceAdd            0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdFloatReduceCmp            0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAes                     0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdAesMix                  0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash                0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha1Hash2               0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash              0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdSha256Hash2             0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma2               0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdShaSigma3               0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::SimdPredAlu                 0      0.00%     93.09% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemRead                   473      0.17%     93.26% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::MemWrite                  800      0.29%     93.55% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemRead             5709      2.07%     95.62% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::FloatMemWrite           12082      4.38%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::IprAccess                   0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statFuBusy::InstPrefetch                0      0.00%    100.00% # attempts to use FU when none available (Count)
system.cpu0.statIssuedInstType_0::No_OpClass       143053      0.21%      0.21% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntAlu     40386711     60.05%     60.26% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntMult       132106      0.20%     60.45% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IntDiv        14705      0.02%     60.48% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatAdd      3911871      5.82%     66.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCmp            0      0.00%     66.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatCvt            0      0.00%     66.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMult            0      0.00%     66.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMultAcc            0      0.00%     66.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatDiv            0      0.00%     66.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMisc            0      0.00%     66.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatSqrt            0      0.00%     66.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAdd          378      0.00%     66.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAddAcc            0      0.00%     66.29% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAlu      1789789      2.66%     68.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCmp           14      0.00%     68.95% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdCvt          655      0.00%     68.96% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMisc       347940      0.52%     69.47% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMult            0      0.00%     69.47% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdMultAcc            0      0.00%     69.47% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShift          186      0.00%     69.47% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShiftAcc            0      0.00%     69.47% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdDiv            0      0.00%     69.47% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSqrt            0      0.00%     69.47% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAdd      4083809      6.07%     75.54% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatAlu            0      0.00%     75.54% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCmp            0      0.00%     75.54% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatCvt       426850      0.63%     76.18% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatDiv        66059      0.10%     76.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMisc            0      0.00%     76.28% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMult      3226170      4.80%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatMultAcc            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatSqrt            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAdd            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceAlu            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdReduceCmp            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceAdd            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdFloatReduceCmp            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAes            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdAesMix            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha1Hash2            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdSha256Hash2            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma2            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdShaSigma3            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::SimdPredAlu            0      0.00%     81.07% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemRead      3062792      4.55%     85.63% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::MemWrite      1989900      2.96%     88.59% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemRead      5070804      7.54%     96.13% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::FloatMemWrite      2606093      3.87%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::IprAccess            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::InstPrefetch            0      0.00%    100.00% # Number of instructions issued per FU type, per thread (Count)
system.cpu0.statIssuedInstType_0::total      67259885                       # Number of instructions issued per FU type, per thread (Count)
system.cpu0.issueRate                        2.616862                       # Inst issue rate ((Count/Cycle))
system.cpu0.fuBusy                             275875                       # FU busy when requested (Count)
system.cpu0.fuBusyRate                       0.004102                       # FU busy rate (busy events/executed inst) ((Count/Count))
system.cpu0.intInstQueueReads               104908587                       # Number of integer instruction queue reads (Count)
system.cpu0.intInstQueueWrites               40312587                       # Number of integer instruction queue writes (Count)
system.cpu0.intInstQueueWakeupAccesses       39523455                       # Number of integer instruction queue wakeup accesses (Count)
system.cpu0.fpInstQueueReads                 55414581                       # Number of floating instruction queue reads (Count)
system.cpu0.fpInstQueueWrites                28093469                       # Number of floating instruction queue writes (Count)
system.cpu0.fpInstQueueWakeupAccesses        27616748                       # Number of floating instruction queue wakeup accesses (Count)
system.cpu0.vecInstQueueReads                       0                       # Number of vector instruction queue reads (Count)
system.cpu0.vecInstQueueWrites                      0                       # Number of vector instruction queue writes (Count)
system.cpu0.vecInstQueueWakeupAccesses              0                       # Number of vector instruction queue wakeup accesses (Count)
system.cpu0.intAluAccesses                   39654914                       # Number of integer alu accesses (Count)
system.cpu0.fpAluAccesses                    27737793                       # Number of floating point alu accesses (Count)
system.cpu0.vecAluAccesses                          0                       # Number of vector alu accesses (Count)
system.cpu0.numInsts                         67170706                       # Number of executed instructions (Count)
system.cpu0.numLoadInsts                      8123461                       # Number of load instructions executed (Count)
system.cpu0.numSquashedInsts                    89179                       # Number of squashed instructions skipped in execute (Count)
system.cpu0.numSwp                                  0                       # Number of swp insts executed (Count)
system.cpu0.numNop                                  0                       # Number of nop insts executed (Count)
system.cpu0.numRefs                          12712345                       # Number of memory reference insts executed (Count)
system.cpu0.numBranches                       3890418                       # Number of branches executed (Count)
system.cpu0.numStoreInsts                     4588884                       # Number of stores executed (Count)
system.cpu0.numRate                          2.613392                       # Inst execution rate ((Count/Cycle))
system.cpu0.timesIdled                            965                       # Number of times that the entire CPU went into an idle state and unscheduled itself (Count)
system.cpu0.idleCycles                         179115                       # Total number of cycles that the CPU has spent unscheduled due to idling (Cycle)
system.cpu0.quiesceCycles                      173829                       # Total number of cycles that CPU has spent quiesced or waiting for an interrupt (Cycle)
system.cpu0.committedInsts                   39450394                       # Number of Instructions Simulated (Count)
system.cpu0.committedOps                     66501951                       # Number of Ops (including micro ops) Simulated (Count)
system.cpu0.cpi                              0.651514                       # CPI: Cycles Per Instruction ((Cycle/Count))
system.cpu0.totalCpi                         0.651514                       # CPI: Total CPI of All Threads ((Cycle/Count))
system.cpu0.ipc                              1.534885                       # IPC: Instructions Per Cycle ((Count/Cycle))
system.cpu0.totalIpc                         1.534885                       # IPC: Total IPC of All Threads ((Count/Cycle))
system.cpu0.intRegfileReads                  60179917                       # Number of integer regfile reads (Count)
system.cpu0.intRegfileWrites                 31592036                       # Number of integer regfile writes (Count)
system.cpu0.fpRegfileReads                   41791280                       # Number of floating regfile reads (Count)
system.cpu0.fpRegfileWrites                  24521105                       # Number of floating regfile writes (Count)
system.cpu0.ccRegfileReads                   19260415                       # number of cc regfile reads (Count)
system.cpu0.ccRegfileWrites                  19889213                       # number of cc regfile writes (Count)
system.cpu0.miscRegfileReads                 21963947                       # number of misc regfile reads (Count)
system.cpu0.MemDepUnit__0.insertedLoads       8156916                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.insertedStores      4619377                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__0.conflictingLoads       688403                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__0.conflictingStores       168013                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__1.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__1.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__1.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__2.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__2.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__2.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.MemDepUnit__3.insertedLoads             0                       # Number of loads inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.insertedStores            0                       # Number of stores inserted to the mem dependence unit. (Count)
system.cpu0.MemDepUnit__3.conflictingLoads            0                       # Number of conflicting loads. (Count)
system.cpu0.MemDepUnit__3.conflictingStores            0                       # Number of conflicting stores. (Count)
system.cpu0.branchPred.lookups                3936582                       # Number of BP lookups (Count)
system.cpu0.branchPred.condPredicted          2825466                       # Number of conditional branches predicted (Count)
system.cpu0.branchPred.condIncorrect            27291                       # Number of conditional branches incorrect (Count)
system.cpu0.branchPred.BTBLookups             2300570                       # Number of BTB lookups (Count)
system.cpu0.branchPred.BTBHits                2298404                       # Number of BTB hits (Count)
system.cpu0.branchPred.BTBHitRatio           0.999058                       # BTB Hit Ratio (Ratio)
system.cpu0.branchPred.RASUsed                 464440                       # Number of times the RAS was used to get a target. (Count)
system.cpu0.branchPred.RASIncorrect                 2                       # Number of incorrect RAS predictions. (Count)
system.cpu0.branchPred.indirectLookups           1506                       # Number of indirect predictor lookups. (Count)
system.cpu0.branchPred.indirectHits               380                       # Number of indirect target hits. (Count)
system.cpu0.branchPred.indirectMisses            1126                       # Number of indirect misses. (Count)
system.cpu0.branchPred.indirectMispredicted          203                       # Number of mispredicted indirect branches. (Count)
system.cpu0.commit.commitSquashedInsts         922455                       # The number of squashed insts skipped by commit (Count)
system.cpu0.commit.commitNonSpecStalls            714                       # The number of times commit has been forced to stall to communicate backwards (Count)
system.cpu0.commit.branchMispredicts            26523                       # The number of times a branch was mispredicted (Count)
system.cpu0.commit.numCommittedDist::samples     25393795                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::mean     2.618827                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::stdev     3.064146                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::underflows            0      0.00%      0.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::0       10600290     41.74%     41.74% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::1        3142567     12.38%     54.12% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::2        1549225      6.10%     60.22% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::3        2092533      8.24%     68.46% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::4        1265325      4.98%     73.44% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::5        1070917      4.22%     77.66% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::6         780796      3.07%     80.73% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::7         254462      1.00%     81.74% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::8        4637680     18.26%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::overflows            0      0.00%    100.00% # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::min_value            0                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::max_value            8                       # Number of insts commited each cycle (Count)
system.cpu0.commit.numCommittedDist::total     25393795                       # Number of insts commited each cycle (Count)
system.cpu0.commit.instsCommitted            39450394                       # Number of instructions committed (Count)
system.cpu0.commit.opsCommitted              66501951                       # Number of ops (including micro ops) committed (Count)
system.cpu0.commit.memRefs                   12604506                       # Number of memory references committed (Count)
system.cpu0.commit.loads                      8043541                       # Number of loads committed (Count)
system.cpu0.commit.amos                             0                       # Number of atomic instructions committed (Count)
system.cpu0.commit.membars                        476                       # Number of memory barriers committed (Count)
system.cpu0.commit.branches                   3846787                       # Number of branches committed (Count)
system.cpu0.commit.vectorInstructions               0                       # Number of committed Vector instructions. (Count)
system.cpu0.commit.floating                  27414057                       # Number of committed floating point instructions. (Count)
system.cpu0.commit.integer                   46880336                       # Number of committed integer instructions. (Count)
system.cpu0.commit.functionCalls               460564                       # Number of function calls committed. (Count)
system.cpu0.commit.committedInstType_0::No_OpClass       135524      0.20%      0.20% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntAlu     39889457     59.98%     60.19% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntMult       131837      0.20%     60.38% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::IntDiv        14686      0.02%     60.41% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatAdd      3850552      5.79%     66.20% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCmp            0      0.00%     66.20% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatCvt            0      0.00%     66.20% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMult            0      0.00%     66.20% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMultAcc            0      0.00%     66.20% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatDiv            0      0.00%     66.20% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatMisc            0      0.00%     66.20% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::FloatSqrt            0      0.00%     66.20% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAdd          374      0.00%     66.20% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAddAcc            0      0.00%     66.20% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdAlu      1749406      2.63%     68.83% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCmp           14      0.00%     68.83% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdCvt          602      0.00%     68.83% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMisc       343844      0.52%     69.35% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMult            0      0.00%     69.35% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdMultAcc            0      0.00%     69.35% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShift          186      0.00%     69.35% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdShiftAcc            0      0.00%     69.35% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdDiv            0      0.00%     69.35% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdSqrt            0      0.00%     69.35% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAdd      4074534      6.13%     75.47% # Class of committed instruction (Count)
system.cpu0.commit.committedInstType_0::SimdFloatAlu            0      0.00%     75.47% # Class of committed instruction (Count)
